City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,tuy hoa,13.0833,109.3,27.76,70,100,4.08,VN,1691607936
328,tongchuanshi,35.0806,109.0897,22.89,82,14,2.6,CN,1691607936
329,sar-e pul,35.8333,66.1667,19.44,37,0,0.36,AF,1691607936
330,colares,38.7992,-9.4469,25.61,76,20,7.15,PT,1691607936
331,ribeira brava,32.65,-17.0667,27.23,79,2,1.21,PT,1691607937
332,mezhova,48.2532,36.7347,20.01,56,6,4.35,UA,1691607937
333,yigo village,13.5361,144.8886,25.97,91,0,4.12,GU,1691607937
334,itoman,26.1247,127.6694,27.01,100,75,3.09,JP,1691607937
335,zheleznogorsk-ilimskiy,56.5768,104.1217,16.36,98,100,1.79,RU,1691607938
336,tarko-sale,64.9225,77.785,9.72,93,100,9.21,RU,1691607938
337,asan-maina village,13.4722,144.7165,26.74,91,0,1.54,GU,1691607938
338,broken hill,-31.95,141.4333,10.72,53,13,3.82,AU,1691607938
339,monywa,22.1167,95.1333,24.39,94,100,4.44,MM,1691607938
340,neunkirchen,49.35,7.1833,20.88,68,20,1.54,DE,1691607938
341,wynyard,-41.0,145.7167,11.13,91,100,5.12,AU,1691607939
342,ippy,6.2679,21.2247,21.51,96,100,1.09,CF,1691607939
343,spring lake,35.1679,-78.9728,32.71,47,91,2.61,US,1691607942
344,susuman,62.7833,148.1667,4.23,96,100,1.03,RU,1691607942
345,novyy urgal,51.0736,132.5642,15.0,81,58,0.54,RU,1691607942
346,bandon,51.7469,-8.7425,18.77,92,30,3.65,IE,1691607943
347,keflavik,64.0049,-22.5624,15.95,62,75,6.17,IS,1691607943
348,amahai,-3.3333,128.9167,24.44,87,87,2.67,ID,1691607943
349,vostochnyy,55.8167,37.8667,21.61,79,0,2.89,RU,1691607926
350,bamboo flat,11.7,92.7167,28.05,83,75,2.57,IN,1691607943
351,mckinleyville,40.9465,-124.1006,20.44,75,100,3.6,US,1691607943
352,mount isa,-20.7333,139.5,11.87,62,6,3.09,AU,1691607944
353,kedrovyy,56.1667,91.8167,15.23,97,17,1.91,RU,1691607944
354,riosucio,5.4216,-75.7032,25.56,44,74,0.94,CO,1691607944
355,namibe,-15.1961,12.1522,18.03,89,54,2.25,AO,1691607944
356,as sulayyil,20.4607,45.5779,38.14,8,8,3.75,SA,1691607743
357,tidjikja,18.5564,-11.4271,39.41,15,7,4.6,MR,1691607944
358,horta,38.5333,-28.6333,25.01,86,20,5.14,PT,1691607507
359,kayangel,8.0823,134.7173,27.75,77,20,8.01,PW,1691607945
360,usol'ye,59.4268,56.6808,15.07,74,27,2.21,RU,1691607945
361,tromso,69.6496,18.957,20.77,55,0,4.63,NO,1691607945
362,saint-philippe,-21.3585,55.7679,19.77,79,35,4.87,RE,1691607945
363,fort bragg,35.139,-79.006,32.73,45,86,0.45,US,1691607945
364,dalcahue,-42.3628,-73.7022,10.11,93,100,6.17,CL,1691607945
365,at taj,24.2049,23.2857,34.37,24,15,4.57,LY,1691607946
